OEM,Brand,Model family,Model,Vehicle classification,SKU,Type,Trim,Number of electric drive motors,ADAS,L2+ Capable,Digital cockpit OS,Australia,India,South East Asia,Japan,Rest of Asia Pacific,South Korea,People's Republic of China (mainland),Rest of Greater China,Rest of Central & Eastern Europe,Rest of Middle East,France,Germany,UK,Rest of Latin America,Canada,United States
Geely,Lynk & Co,"01, 05",01,SUV/Crossover,01 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1678832116788321,0.167487684729064,0.167192429022082,0.164179104477612,0.1504702194357367,0.1414141414141414,0.1678832116788321,0.167487684729064,,0.164179104477612,,0.1414141414141414,0.1678832116788321,0.167487684729064,0.167192429022082,0.164179104477612
Geely,Lynk & Co,"01, 05",01,SUV/Crossover,01 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1605839416058394,0.1625615763546798,0.1640378548895899,0.1567164179104478,0.1473354231974922,0.1363636363636364,0.1605839416058394,0.1625615763546798,,0.1567164179104478,,0.1363636363636364,0.1605839416058394,0.1625615763546798,0.1640378548895899,0.1567164179104478
Geely,Lynk & Co,"01, 05",01,SUV/Crossover,01 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1897810218978102,0.1822660098522167,0.1766561514195583,0.1865671641791045,0.1598746081504702,0.1565656565656566,0.1897810218978102,0.1822660098522167,,0.1865671641791045,,0.1565656565656566,0.1897810218978102,0.1822660098522167,0.1766561514195583,0.1865671641791045
Geely,Lynk & Co,"01, 05",01 EM-F,SUV/Crossover,01 EM-F ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1678832116788321,0.167487684729064,0.167192429022082,0.164179104477612,0.1504702194357367,0.1414141414141414,0.1678832116788321,0.167487684729064,,0.164179104477612,,0.1414141414141414,0.1678832116788321,0.167487684729064,0.167192429022082,0.164179104477612
Geely,Lynk & Co,"01, 05",01 EM-F,SUV/Crossover,01 EM-F ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1605839416058394,0.1625615763546798,0.1640378548895899,0.1567164179104478,0.1473354231974922,0.1363636363636364,0.1605839416058394,0.1625615763546798,,0.1567164179104478,,0.1363636363636364,0.1605839416058394,0.1625615763546798,0.1640378548895899,0.1567164179104478
Geely,Lynk & Co,"01, 05",01 EM-F,SUV/Crossover,01 EM-F ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1897810218978102,0.1822660098522167,0.1766561514195583,0.1865671641791045,0.1598746081504702,0.1565656565656566,0.1897810218978102,0.1822660098522167,,0.1865671641791045,,0.1565656565656566,0.1897810218978102,0.1822660098522167,0.1766561514195583,0.1865671641791045
Geely,Lynk & Co,"01, 05",05,SUV/Crossover,05 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1678832116788321,0.167487684729064,0.167192429022082,0.164179104477612,0.1504702194357367,0.1414141414141414,0.1678832116788321,0.167487684729064,,0.164179104477612,,0.1414141414141414,0.1678832116788321,0.167487684729064,0.167192429022082,0.164179104477612
Geely,Lynk & Co,"01, 05",05,SUV/Crossover,05 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1605839416058394,0.1625615763546798,0.1640378548895899,0.1567164179104478,0.1473354231974922,0.1363636363636364,0.1605839416058394,0.1625615763546798,,0.1567164179104478,,0.1363636363636364,0.1605839416058394,0.1625615763546798,0.1640378548895899,0.1567164179104478
Geely,Lynk & Co,"01, 05",05,SUV/Crossover,05 ICE Mid 0,ICE,Mid 0,Not applicable,L2,No,LynkOS,0.1897810218978102,0.1822660098522167,0.1766561514195583,0.1865671641791045,0.1598746081504702,0.1565656565656566,0.1897810218978102,0.1822660098522167,,0.1865671641791045,,0.1565656565656566,0.1897810218978102,0.1822660098522167,0.1766561514195583,0.1865671641791045
Geely,Lynk & Co,"01, 05",01,SUV/Crossover,01 ICE Top 0,ICE,Top 0,Not applicable,L2,No,LynkOS,0.1824817518248175,0.1773399014778325,0.1735015772870662,0.1791044776119403,0.1567398119122257,0.1515151515151515,0.1824817518248175,0.1773399014778325,,0.1791044776119403,,0.1515151515151515,0.1824817518248175,0.1773399014778325,0.1735015772870662,0.1791044776119403
