,level_0,level_1,level_2,level_3,Model Family,BEV,ICE,PHEV
0,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Australia,0.34,0.23,0.53
1,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Canada,0.34,0.23,0
2,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",France,0.34,0.23,0
3,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Germany,0,0.22,0.28
4,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",India,0.48000000000000004,0.22,0.28
5,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Japan,0,0.22,0.28
6,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",People's Republic of China (mainland),0.34,0.23,0
7,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Rest of Asia Pacific,0.34,0.23,0.53
8,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Rest of Central & Eastern Europe,0.34,0.23,0.53
9,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Rest of Greater China,0,0.22,0.28
10,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Rest of Latin America,0.48000000000000004,0.22,0.28
11,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Rest of Middle East,0.48000000000000004,0.22,0.28
12,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",South Korea,0.48000000000000004,0.22,0.28
13,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",Southeast Asia,0.34,0.23,0
14,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",UK,0.34,0.23,0.53
15,Geely,Lynk & co SUV/Crossover,SUV/Crossover,"01, 05",United States,0,0.22,0.28
16,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Australia,0.36000000000000004,0.25,0.55
17,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Canada,0.36000000000000004,0.25,0
18,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,France,0.36000000000000004,0.25,0
19,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Germany,0,0.24,0.30000000000000004
20,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,India,0.5,0.24,0.30000000000000004
21,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Japan,0,0.24,0.30000000000000004
22,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,People's Republic of China (mainland),0.36000000000000004,0.25,0
23,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Rest of Asia Pacific,0.36000000000000004,0.25,0.55
24,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Rest of Central & Eastern Europe,0.36000000000000004,0.25,0.55
25,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Rest of Greater China,0,0.24,0.30000000000000004
26,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Rest of Latin America,0.5,0.24,0.30000000000000004
27,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Rest of Middle East,0.5,0.24,0.30000000000000004
28,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,South Korea,0.5,0.24,0.30000000000000004
29,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,Southeast Asia,0.36000000000000004,0.25,0
30,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,UK,0.36000000000000004,0.25,0.55
31,Geely,Lynk & co SUV/Crossover,SUV/Crossover,06,United States,0,0.24,0.30000000000000004
32,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Australia,0.33000000000000007,0.22,0.52
33,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Canada,0.33000000000000007,0.22,0
34,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,France,0.33000000000000007,0.22,0
35,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Germany,0,0.21,0.2700000000000001
36,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,India,0.47000000000000003,0.21,0.2700000000000001
37,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Japan,0,0.21,0.2700000000000001
38,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,People's Republic of China (mainland),0.33000000000000007,0.22,0
39,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Rest of Asia Pacific,0.33000000000000007,0.22,0.52
40,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Rest of Central & Eastern Europe,0.33000000000000007,0.22,0.52
41,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Rest of Greater China,0,0.21,0.2700000000000001
42,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Rest of Latin America,0.47000000000000003,0.21,0.2700000000000001
43,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Rest of Middle East,0.47000000000000003,0.21,0.2700000000000001
44,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,South Korea,0.47000000000000003,0.21,0.2700000000000001
45,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,Southeast Asia,0.33000000000000007,0.22,0
46,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,UK,0.33000000000000007,0.22,0.52
47,Geely,Lynk & co SUV/Crossover,SUV/Crossover,09,United States,0,0.21,0.2700000000000001
48,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Australia,0.32000000000000006,0.21,0.51
49,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Canada,0.32000000000000006,0.21,0
50,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,France,0.32000000000000006,0.21,0
51,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Germany,0,0.19999999999999998,0.26000000000000006
52,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,India,0.46,0.19999999999999998,0.26000000000000006
53,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Japan,0,0.19999999999999998,0.26000000000000006
54,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,People's Republic of China (mainland),0.32000000000000006,0.21,0
55,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Asia Pacific,0.32000000000000006,0.21,0.51
56,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Central & Eastern Europe,0.32000000000000006,0.21,0.51
57,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Greater China,0,0.19999999999999998,0.26000000000000006
58,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Latin America,0.46,0.19999999999999998,0.26000000000000006
59,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Rest of Middle East,0.46,0.19999999999999998,0.26000000000000006
60,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,South Korea,0.46,0.19999999999999998,0.26000000000000006
61,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,Southeast Asia,0.32000000000000006,0.21,0
62,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,UK,0.32000000000000006,0.21,0.51
63,Geely,Lynk & co SUV/Crossover,SUV/Crossover,02,United States,0,0.19999999999999998,0.26000000000000006
64,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Australia,0.37000000000000005,0.26,0.56
65,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 5,Canada,0.37000000000000005,0.26,0
